tests,years,firstExt,firstExtSTD,deadWorld,deadWorldSTD,id,wolfEn,wolfRe,wolfFa,rabbitEn,rabbitRe,rabbitFa,wolfNum,rabbitNum,grassNum,debrisNum
1, 500, 17.0, 0.0, 17.0, 0.0, '494XGJ', 304, 389, 15, 94, 103.4, 13, 1, 19, 39, 11
1, 500, 29.0, 0.0, 29.0, 0.0, 'W052F8', 294, 401, 17, 80, 99, 5, 1, 11, 13, 4
1, 500, 46.0, 0.0, 46.0, 0.0, 'CI8FUB', 298, 396, 16, 103, 113.30000000000001, 5, 1, 18, 23, 1
1, 500, 14.0, 0.0, 14.0, 0.0, 'GLDSI0', 304, 404, 21, 67, 94, 13, 10, 18, 53, 1
1, 500, 27.0, 0.0, 27.0, 0.0, 'MZVPO1', 286, 407, 18, 65, 109, 5, 6, 10, 31, 1
1, 500, 20.0, 0.0, 20.0, 0.0, '62GW0A', 308, 410, 22, 81, 103, 6, 1, 11, 15, 17
1, 500, 31.0, 0.0, 31.0, 0.0, 'P826T3', 311, 393, 23, 70, 97, 5, 1, 13, 27, 5
1, 500, 500.0, 0.0, 500.0, 0.0, 'RW6TNL', 291, 399, 9, 61, 112, 9, 2, 19, 33, 20
1, 500, 20.0, 0.0, 20.0, 0.0, 'P8AV7D', 302, 390, 21, 74, 101, 15, 1, 18, 23, 22
1, 500, 27.0, 0.0, 27.0, 0.0, 'AV9XRY', 299, 425, 18, 68, 92, 5, 2, 26, 9, 2
1, 500, 25.0, 0.0, 25.0, 0.0, 'WR2ALL', 308, 405, 22, 85, 103, 7, 1, 17, 33, 21
1, 500, 85.0, 0.0, 85.0, 0.0, '3VHHXT', 293, 402, 15, 55, 110, 5, 3, 16, 26, 27
1, 500, 14.0, 0.0, 14.0, 0.0, 'NOYYAH', 288, 387, 21, 57, 96, 10, 1, 7, 30, 13
1, 500, 202.0, 0.0, 202.0, 0.0, 'QXN1V7', 277, 409, 17, 68, 92, 12, 2, 22, 28, 23
1, 500, 51.0, 0.0, 51.0, 0.0, 'O22FH8', 308, 400, 29, 70, 95, 6, 1, 14, 13, 17
1, 500, 213.0, 0.0, 213.0, 0.0, 'VB7NMB', 294, 393, 19, 86, 97, 12, 7, 14, 22, 12
1, 500, 30.0, 0.0, 30.0, 0.0, 'WXOSBO', 294, 418, 15, 68, 106, 5, 4, 17, 31, 9
1, 500, 99.0, 0.0, 99.0, 0.0, 'X8AXNJ', 298, 412, 14, 75, 103, 8, 3, 6, 34, 10
1, 500, 207.0, 0.0, 207.0, 0.0, '8T3D6U', 303, 391, 18, 57, 106, 6, 7, 16, 22, 26
1, 500, 38.0, 0.0, 38.0, 0.0, '3U7N7Z', 300, 382, 26, 83, 102, 5, 1, 9, 36, 1
1, 500, 17.0, 0.0, 17.0, 0.0, 'PA0WSB', 313, 413, 30, 57, 113, 5, 3, 17, 37, 9
1, 500, 25.0, 0.0, 25.0, 0.0, 'KKPLZD', 295, 397, 23, 71, 93, 5, 2, 19, 33, 1
1, 500, 22.0, 0.0, 22.0, 0.0, 'B6SVZC', 309, 386, 22, 69, 101, 18, 5, 7, 12, 5
1, 500, 16.0, 0.0, 16.0, 0.0, 'J2YFDC', 294, 424, 16, 63, 105, 12, 1, 16, 4, 1
1, 500, 22.0, 0.0, 22.0, 0.0, '8DERII', 293, 407, 14, 58, 138, 5, 1, 15, 28, 1
1, 500, 89.0, 0.0, 89.0, 0.0, 'PMANHT', 295, 395, 15, 65, 95, 5, 4, 17, 24, 11
1, 500, 56.0, 0.0, 56.0, 0.0, 'KSCQ9J', 290, 390, 10, 60, 100, 5, 5, 18, 23, 12
1, 500, 205.0, 0.0, 205.0, 0.0, 'GUZP82', 285, 385, 5, 65, 105, 5, 6, 19, 24, 13
1, 500, 42.0, 0.0, 42.0, 0.0, 'CYGIGZ', 280, 380, 5, 70, 110, 10, 7, 20, 25, 14
1, 500, 19.0, 0.0, 19.0, 0.0, '73BEON', 275, 385, 5, 65, 105, 15, 8, 21, 26, 15
1, 500, 215.0, 0.0, 215.0, 0.0, 'C81J4K', 280, 390, 5, 60, 100, 10, 7, 20, 27, 16
1, 500, 500.0, 0.0, 500.0, 0.0, 'PXEAML', 285, 395, 5, 55, 95, 5, 6, 19, 28, 17
1, 500, 262.0, 0.0, 262.0, 0.0, 'Y3B48F', 290, 400, 5, 50, 90, 5, 5, 18, 29, 18
1, 500, 500.0, 0.0, 500.0, 0.0, '52Y1N5', 295, 405, 5, 45, 85, 5, 4, 17, 30, 19
1, 500, 149.0, 0.0, 149.0, 0.0, '9TC6TG', 300, 410, 5, 40, 80, 5, 3, 16, 31, 20
1, 500, 166.0, 0.0, 166.0, 0.0, '32Y66D', 305, 415, 5, 35, 75, 5, 4, 15, 32, 21
1, 500, 500.0, 0.0, 500.0, 0.0, 'MDR17W', 300, 410, 5, 30, 70, 5, 5, 16, 33, 22
1, 500, 476.0, 0.0, 476.0, 0.0, 'GWH3WB', 295, 405, 5, 25, 65, 5, 6, 15, 34, 23
1, 500, 189.0, 0.0, 189.0, 0.0, 'QF1LZM', 290, 400, 5, 25, 60, 5, 7, 14, 35, 24
1, 500, 252.0, 0.0, 252.0, 0.0, '2PC0LC', 295, 395, 5, 25, 55, 5, 8, 15, 36, 25
1, 500, 500.0, 0.0, 500.0, 0.0, 'VUP8L0', 300, 400, 5, 25, 50, 5, 7, 16, 37, 26
1, 500, 500.0, 0.0, 500.0, 0.0, 'B8F8Y1', 305, 405, 5, 25, 45, 5, 6, 17, 38, 27
1, 500, 500.0, 0.0, 500.0, 0.0, 'V8C5IQ', 310, 410, 5, 25, 40, 5, 5, 18, 39, 28
1, 500, 269.0, 0.0, 269.0, 0.0, 'YKGLD8', 315, 415, 5, 25, 35, 5, 4, 19, 40, 29
1, 500, 305.0, 0.0, 305.0, 0.0, '7SWX37', 320, 410, 5, 25, 30, 5, 5, 20, 41, 30
1, 500, 500.0, 0.0, 500.0, 0.0, 'VE4O1A', 315, 405, 5, 25, 28.0, 5, 6, 19, 42, 31
1, 500, 327.0, 0.0, 327.0, 0.0, 'KMCDTX', 310, 400, 5, 25, 28.0, 5, 7, 18, 43, 32
1, 500, 500.0, 0.0, 500.0, 0.0, 'EBW52F', 305, 405, 5, 25, 28.0, 5, 8, 17, 44, 33
1, 500, 500.0, 0.0, 500.0, 0.0, 'ODWUFM', 300, 410, 5, 25, 28.0, 5, 9, 16, 45, 34
1, 500, 500.0, 0.0, 500.0, 0.0, 'S4XWQ9', 295, 415, 5, 25, 28.0, 5, 10, 15, 46, 35
1, 500, 500.0, 0.0, 500.0, 0.0, 'JW62Z3', 290, 420, 5, 25, 28.0, 5, 11, 14, 47, 36
1, 500, 500.0, 0.0, 500.0, 0.0, 'EGJXVR', 285, 425, 5, 25, 28.0, 5, 12, 13, 48, 37
1, 500, 152.0, 0.0, 152.0, 0.0, 'HFBC6K', 280, 430, 5, 25, 28.0, 5, 13, 12, 49, 38
1, 500, 500.0, 0.0, 500.0, 0.0, 'O3O2F3', 285, 425, 5, 25, 28.0, 5, 12, 13, 50, 39
1, 500, 500.0, 0.0, 500.0, 0.0, '1SLW64', 290, 420, 5, 25, 28.0, 5, 11, 14, 51, 40
1, 500, 500.0, 0.0, 500.0, 0.0, 'UBXC9I', 295, 415, 5, 25, 28.0, 5, 10, 15, 52, 41
1, 500, 500.0, 0.0, 500.0, 0.0, 'ILY2FO', 300, 410, 5, 25, 28.0, 5, 9, 16, 53, 42
1, 500, 500.0, 0.0, 500.0, 0.0, 'LV1S5R', 305, 405, 5, 25, 28.0, 5, 8, 17, 54, 43
1, 500, 145.0, 0.0, 145.0, 0.0, '79RG5L', 310, 400, 5, 25, 28.0, 5, 7, 18, 55, 44
1, 500, 215.0, 0.0, 215.0, 0.0, '1HA53T', 305, 395, 5, 25, 28.0, 5, 8, 19, 56, 45
1, 500, 500.0, 0.0, 500.0, 0.0, 'VEH521', 300, 400, 5, 25, 28.0, 5, 9, 18, 55, 46
1, 500, 500.0, 0.0, 500.0, 0.0, '4V770M', 295, 405, 5, 25, 28.0, 5, 10, 17, 54, 47
1, 500, 500.0, 0.0, 500.0, 0.0, '0FQD10', 290, 410, 5, 25, 28.0, 5, 11, 16, 53, 48
1, 500, 200.0, 0.0, 200.0, 0.0, '6BETOS', 285, 415, 5, 25, 28.0, 5, 12, 15, 52, 49
1, 500, 500.0, 0.0, 500.0, 0.0, '2NIS4M', 290, 420, 5, 25, 28.0, 5, 13, 14, 51, 50
1, 500, 351.0, 0.0, 351.0, 0.0, '4MAYJ2', 295, 425, 5, 25, 28.0, 5, 14, 13, 50, 51
1, 500, 500.0, 0.0, 500.0, 0.0, 'JYS0NE', 300, 420, 5, 25, 28.0, 5, 13, 12, 49, 52
1, 500, 141.0, 0.0, 141.0, 0.0, 'WIX723', 305, 425, 5, 25, 28.0, 5, 12, 11, 48, 53
1, 500, 218.0, 0.0, 218.0, 0.0, 'VNVSWR', 300, 420, 5, 25, 28.0, 5, 11, 12, 49, 54
1, 500, 500.0, 0.0, 500.0, 0.0, 'JPPVNO', 295, 415, 5, 25, 28.0, 5, 10, 13, 50, 55
1, 500, 219.0, 0.0, 219.0, 0.0, 'HN2T1W', 290, 410, 5, 25, 28.0, 5, 9, 14, 51, 56
1, 500, 206.0, 0.0, 206.0, 0.0, 'ACK0KF', 285, 405, 5, 25, 28.0, 5, 8, 15, 52, 55
1, 500, 156.0, 0.0, 156.0, 0.0, 'R7MD6I', 290, 400, 5, 25, 28.0, 5, 9, 16, 53, 54
1, 500, 500.0, 0.0, 500.0, 0.0, 'NHEINL', 295, 395, 5, 25, 28.0, 5, 10, 17, 52, 53
1, 500, 495.0, 0.0, 495.0, 0.0, 'KXGMI1', 300, 390, 5, 25, 28.0, 5, 11, 18, 51, 52
